job_title,grade,jurisdictional_classification,negotiating_unit,job_level,agency_description
Consumer Representative 1 (DFS),14,0.0,5.0,,"Financial Services, Department of"
Consumer Representative 2 (DFS),18,0.0,5.0,,"Financial Services, Department of"
Consumer Representative 3 (Education Financing),23,0.0,5.0,,"Financial Services, Department of"
Consumer Services Representative 1,11,0.0,2.0,,"State, Department of"
Consumer Services Representative 1 Spanish L,11,0.0,2.0,,"State, Department of"
Consumer Services Representative 2,14,0.0,2.0,,"State, Department of"
Contract Management Specialist 1,18,0.0,5.0,,Multiple Agencies
Contract Management Specialist 1 Health Benefit Ex,18,0.0,5.0,,"Health, Department of"
Contract Management Specialist 1 Market Analysis,18,1.0,5.0,,"General Services, Office of"
Contract Management Specialist 2,23,0.0,5.0,,Multiple Agencies
Contract Management Specialist 2 Health Benefit Ex,23,0.0,5.0,,"Health, Department of"
Contract Management Specialist 2 Market Analysis,23,1.0,5.0,,"General Services, Office of"
Contract Management Specialist 3,27,0.0,5.0,,Multiple Agencies
Contract Management Specialist 3 Health Benefit Ex,27,0.0,5.0,,"Health, Department of"
Contract Management Specialist 4,64,0.0,6.0,,Multiple Agencies
Contract Management Specialist 4 Health Benefit Ex,64,0.0,6.0,,"Health, Department of"
Convention & Tourism Promotion Assistant,14,1.0,5.0,,"General Services, Office of"
Convention & Tourism Promotion Specialist 1,18,1.0,5.0,,"General Services, Office of"
Convention & Tourism Promotion Specialist 2,23,1.0,5.0,,"General Services, Office of"
Convention & Tourism Promotion Specialist 3,25,1.0,5.0,,"General Services, Office of"
Cook,11,1.0,4.0,,Multiple Agencies
Coord Budget Publications,20,0.0,6.0,,"Budget, Division of the"
Coord Correctional Srvs Employee Invstgts,62,0.0,6.0,,"Corrections and Community Supervision, Dept of"
Coord Cultural & Language Access Services,23,1.0,5.0,,Multiple Agencies
Coord Equipment Operator Instruction,21,0.0,5.0,,"Transportation, Department of"
Coord Family Services,61,0.0,6.0,,"Corrections and Community Supervision, Dept of"
Coord Inmate Movement,22,0.0,5.0,,"Corrections and Community Supervision, Dept of"
Coord Intensive Case Management Services,25,0.0,5.0,,OMH-M/O+Facs
Coord Medical Facilities Audit,64,0.0,6.0,,"Medicaid Inspector General, Office of"
Coord Special Educ,25,0.0,5.0,,"Corrections and Community Supervision, Dept of"
Coord Volunteer Services,18,0.0,5.0,,Multiple Agencies
Coordinator Post-Secondary Education,25,0.0,5.0,,"Corrections and Community Supervision, Dept of"
Corporate Accounts Manager,25,0.0,5.0,,NYS Gaming Commission
Correction Captain,61,0.0,6.0,,Corrections - M/O+Facs
Correction Classification Analyst,22,0.0,5.0,,"Corrections and Community Supervision, Dept of"
Correction Classification Analyst Health Services,22,0.0,5.0,,"Corrections and Community Supervision, Dept of"
Correction Classification Analyst Spanish Language,22,0.0,5.0,,"Corrections and Community Supervision, Dept of"
Correction Lieutenant,20,0.0,61.0,,Corrections - M/O+Facs
Correction Lieutenant Spanish Language,20,0.0,61.0,,Corrections - M/O+Facs
Correction Officer,14,0.0,1.0,,Corrections - M/O+Facs
Correction Officer Spanish Language,14,0.0,1.0,,Corrections - M/O+Facs
Correction Sentencing Review Coordinator,61,0.0,6.0,,"Corrections and Community Supervision, Dept of"
Correction Sentencing Review Specialist,22,0.0,5.0,,"Corrections and Community Supervision, Dept of"
Correction Sergeant,17,0.0,1.0,,Corrections - M/O+Facs
Correction Sergeant Spanish Language,17,0.0,1.0,,Corrections - M/O+Facs
Correctional Facility Food Admr 1,19,0.0,4.0,,Corrections - M/O+Facs
Correctional Facility Food Admr 2,21,0.0,5.0,,Corrections - M/O+Facs
Correctional Facility Operations Specialist,23,1.0,6.0,,"Corrections and Community Supervision, Dept of"
Correctional Facility Program Admr,23,0.0,6.0,,DOCCS Moriah Cor Facility
Correctional Facility Specialist 1,19,0.0,5.0,,"Correction, Commission of"
Correctional Facility Specialist 2,21,0.0,5.0,,"Correction, Commission of"
Correctional Facility Specialist 3,23,0.0,5.0,,"Correction, Commission of"
Correctional Food & Nutritional Services Dir,64,0.0,6.0,,"Corrections and Community Supervision, Dept of"
Correctional Food and Nutritional Svs Assnt Dir,62,0.0,6.0,,DOCCS Mohawk Cor Facility
Correctional Industries Marketing Specialist 1,18,1.0,5.0,,"Corrections and Community Supervision, Dept of"
Correctional Industries Marketing Specialist 2,23,1.0,5.0,,"Corrections and Community Supervision, Dept of"
Correctional Industries Sales Rep,16,0.0,2.0,,"Corrections and Community Supervision, Dept of"
Correctional Industries Shipping Supvr,25,0.0,5.0,,"Corrections and Community Supervision, Dept of"
Correctional Laundry & Housekeeping Services Supvr,21,0.0,5.0,,"Corrections and Community Supervision, Dept of"
Correctional Regional Health Services Admr,61,0.0,6.0,,"Corrections and Community Supervision, Dept of"
Correctional Security Technical Services Specialst,62,0.0,6.0,,"Corrections and Community Supervision, Dept of"
Correctional Services Employee Investigator,14,0.0,6.0,,"Corrections and Community Supervision, Dept of"
Correctional Services Guidance Specialist,22,0.0,5.0,,"Corrections and Community Supervision, Dept of"
Correctional Services Guidance Specialist Vet Srvs,22,1.0,5.0,,"Corrections and Community Supervision, Dept of"
Correctional Services Transportation Coord,18,0.0,2.0,,"Corrections and Community Supervision, Dept of"
Correctional Staff Deployment  Spec,23,0.0,6.0,,"Corrections and Community Supervision, Dept of"
Counsel,NS,2.0,6.0,,Multiple Agencies
Counsel & Deputy Commr For Legal Affairs,NS,2.0,6.0,,"Education, Dept of"
Crane & Shovel Operator,12,1.0,3.0,,Multiple Agencies
Credit & Collection Manager,62,0.0,6.0,,State Insurance Fund
Crime Analysis Center Director,NS,2.0,6.0,,"Criminal Justice Services, Div of"
Crime Analysis Coordinator Intelligence,25,1.0,5.0,,"Criminal Justice Services, Div of"
Crime Analysis Coordinator Technology,25,1.0,5.0,,"Criminal Justice Services, Div of"
Crime Analysis Coordinator Training,25,1.0,5.0,,"Criminal Justice Services, Div of"
Crime Victims Advocate,18,1.0,5.0,,"State Police, Division of"
Crime Victims Specialist 1,14,0.0,2.0,,"Victim Services, Office of"
Crime Victims Specialist 1 Spanish Language,14,0.0,2.0,,"Victim Services, Office of"
Crime Victims Specialist 2,18,0.0,5.0,,"Victim Services, Office of"
Crime Victims Specialist 2 Spanish Language,18,0.0,5.0,,"Victim Services, Office of"
Crime Victims Specialist 3,23,0.0,5.0,,"Victim Services, Office of"
Criminal Justice Policy Analyst 1,18,0.0,5.0,,"Criminal Justice Services, Div of"
Criminal Justice Policy Analyst 2,23,0.0,5.0,,"Criminal Justice Services, Div of"
Criminal Justice Program Specialist 1,18,0.0,5.0,,"Criminal Justice Services, Div of"
Criminal Justice Program Specialist 2,23,0.0,5.0,,"Criminal Justice Services, Div of"
Criminal Justice Program Specialist 3,27,0.0,5.0,,"Criminal Justice Services, Div of"
Critical Infrastructure Analyst 2,31,1.0,5.0,,"Homeland Security and Emergency Services, Div of"
Cultural Interpretation Specialist 1,18,1.0,5.0,,"Temp&Disability Asst, Office of"
Cultural Interpretation Specialist 2,23,1.0,5.0,,"Temp&Disability Asst, Office of"
Cultural Interpretation Specialist 3,27,1.0,5.0,,"Temp&Disability Asst, Office of"
Curator 1,18,0.0,5.0,,Parks+Recreation-M/O+Reg Comms
Curator 2,20,0.0,5.0,,"P&R Parks and Rec, Office of"
Curatorial & Visitor Services Specialist 1,14,1.0,5.0,,"General Services, Office of"
Curatorial & Visitor Services Specialist 2,18,1.0,5.0,,"General Services, Office of"
Curatorial & Visitor Services Specialist 3,20,1.0,5.0,,"General Services, Office of"
Curriculum Content Coord,22,0.0,5.0,,Multiple Agencies
Customer Service Program Specialist 1,18,1.0,5.0,,State Insurance Fund
Customer Service Program Specialist 2,23,1.0,5.0,,State Insurance Fund
Customer Service Program Specialist 3,25,1.0,5.0,,Multiple Agencies
Customer Service Program Specialist 4,62,1.0,6.0,,State Insurance Fund
Customer Service Rep 1,9,1.0,2.0,,State Insurance Fund
Customer Service Rep 2,14,1.0,2.0,,State Insurance Fund
Customer Service Rep 3,17,1.0,5.0,,State Insurance Fund
Customer Service Rep 4,20,1.0,5.0,,State Insurance Fund
Cytotechnologist,12,0.0,5.0,,"Health, Department of"
Dairy Industry Services Manager,27,0.0,5.0,,"Agriculture & Markets, Dept of"
Dairy Industry Services Manager (Milk Control),27,0.0,5.0,,"Agriculture & Markets, Dept of"
Dairy Products Specialist 1,18,0.0,5.0,,"Agriculture & Markets, Dept of"
Dairy Products Specialist 1 Spanish Language,18,0.0,5.0,,"Agriculture & Markets, Dept of"
Dairy Products Specialist 2,23,0.0,5.0,,"Agriculture & Markets, Dept of"
Dairy Products Specialist 2 Dairy Equipment,23,0.0,5.0,,"Agriculture & Markets, Dept of"
Data Analyst 1,18,1.0,5.0,,Multiple Agencies
Data Analyst 2,23,1.0,5.0,,Multiple Agencies
Data Analyst 3,27,1.0,5.0,,Multiple Agencies
Data Analyst 4,64,1.0,6.0,,Multiple Agencies
Data Processing Fiscal Sys Auditor 4,29,0.0,5.0,,Multiple Agencies
Data Processing Fiscal Sys Auditor 5,64,0.0,6.0,,"Taxation and Finance, Dept of"
Dental Assnt,8,1.0,4.0,,Multiple Agencies
Dental Assnt Manual Communications,8,1.0,4.0,,"Health, Department of"
Dental Hygienist,12,0.0,4.0,,Multiple Agencies
Dental Public Health Epidemiologist,34,1.0,5.0,,"Health, Department of"
Dental Services Review Assnt 1,15,1.0,2.0,,Multiple Agencies
Dental Services Review Assnt 2,19,1.0,2.0,,Multiple Agencies
Dentist 1,30,0.0,5.0,,Multiple Agencies
Dentist 2,32,0.0,5.0,,Multiple Agencies
Dentist 3,34,0.0,5.0,,Multiple Agencies
Dept Of State Publications Manager,23,0.0,5.0,,"State, Department of"
Deputy Admr Veterans Home,63,1.0,6.0,,Health - M/O+Facs
Deputy Chief Budget Examiner,67,0.0,6.0,,"Budget, Division of the"
Deputy Commr,NS,2.0,6.0,,Multiple Agencies
Deputy Commr & Counsel,NS,2.0,6.0,,Multiple Agencies
Deputy Counsel,NS,2.0,6.0,,Multiple Agencies
Deputy Dir,NS,2.0,6.0,,Multiple Agencies
Deputy Dir Developmental Disabilities Research Ins,68,1.0,6.0,,OPWDD Staten Island DDSO
Deputy Dir Psychiatric Cntr 1,64,1.0,6.0,,OMH-M/O+Facs
Deputy Dir Psychiatric Cntr 2,66,1.0,6.0,,OMH-M/O+Facs
Deputy Dir Psychiatric Research Institute,68,1.0,6.0,,OMH-M/O+Facs
Deputy Dir Rehab Hospital,68,1.0,6.0,,Helen Hayes Hospital
Deputy Supt,NS,2.0,6.0,,"Financial Services, Department of"
Deputy Supt For Admnv Services 2,62,1.0,6.0,,Corrections - M/O+Facs
Deputy Supt For Admnv Services 3,63,1.0,6.0,,Corrections - M/O+Facs
Deputy Supt For Program Services 2,62,1.0,6.0,,Corrections - M/O+Facs
Deputy Supt For Program Services 3,63,1.0,6.0,,Corrections - M/O+Facs
Deputy Supt For Reception & Classification 3,63,1.0,6.0,,Corrections - M/O+Facs
Deputy Supt For Security Services 2,62,1.0,6.0,,Corrections - M/O+Facs
Deputy Supt For Security Services 3,63,1.0,6.0,,Corrections - M/O+Facs
Deputy Supt of Correctional Health Care Facility 1,62,1.0,6.0,,Corrections - M/O+Facs
Deputy Supt of Correctional Health Care Facility 2,63,1.0,6.0,,Corrections - M/O+Facs
Deputy Supt of Correctional Mental Health Care Fac,63,1.0,6.0,,Corrections - M/O+Facs
Derrick Boat Captain,NS,1.0,23.0,,Canal Corporation
Developmental Assnt 1,12,0.0,4.0,,OPWDD-M/O+Facs
Developmental Assnt 1 In Residence Model,12,0.0,4.0,,OPWDD-M/O+Facs
Developmental Assnt 2,13,0.0,4.0,,OPWDD-M/O+Facs
Developmental Assnt 3,17,0.0,4.0,,OPWDD-M/O+Facs
Developmental Disabilities Forensic Program Admnr,63,0.0,6.0,,"OPWDD People W Dev Disab, Office for"
Developmental Disabilities Operations Dir 1,64,0.0,6.0,,OPWDD-M/O+Facs
Developmental Disabilities Operations Dir 1 Audit,64,0.0,6.0,,"OPWDD People W Dev Disab, Office for"
Developmental Disabilities Operations Dir 1 BITS,64,0.0,6.0,,"OPWDD People W Dev Disab, Office for"
Developmental Disabilities Operations Dir 2,65,0.0,6.0,,OPWDD-M/O+Facs
Developmental Disabilities Operations Dir 3,66,1.0,6.0,,"OPWDD People W Dev Disab, Office for"
Developmental Disabilities Policy Dev Specialist 2,23,0.0,5.0,,"OPWDD People W Dev Disab, Office for"
Developmental Disabilities Policy Dev Specialist 3,27,0.0,5.0,,Multiple Agencies
Developmental Disabilities Policy Dev Specialist 4,63,0.0,6.0,,"OPWDD People W Dev Disab, Office for"
Developmental Disabilities Program Planner 2,61,1.0,6.0,,"OPWDD People W Dev Disab, Office for"
Developmental Disabilities Public Educ Spec,14,1.0,5.0,,OPWDD-M/O+Facs
Developmental Specialist 2,17,0.0,5.0,,OPWDD-M/O+Facs
Developmental Specialist 3,19,0.0,5.0,,OPWDD-M/O+Facs
Developmental Specialist 4,22,0.0,5.0,,OPWDD-M/O+Facs
DHSES Logistics Manager,25,1.0,5.0,,"Homeland Security and Emergency Services, Div of"
DHSES Logistics Specialist,18,1.0,5.0,,"Homeland Security and Emergency Services, Div of"
DHSES Logistics Supervisor,23,1.0,5.0,,"Homeland Security and Emergency Services, Div of"
DHSES Program Administrator 1,18,0.0,5.0,,"Homeland Security and Emergency Services, Div of"
DHSES Program Administrator 2,23,0.0,5.0,,"Homeland Security and Emergency Services, Div of"
DHSES Program Administrator 3,25,0.0,5.0,,"Homeland Security and Emergency Services, Div of"
DHSES Program Manager,29,1.0,5.0,,"Homeland Security and Emergency Services, Div of"
DHSES Training Extra,NS,1.0,3.0,,"Homeland Security and Emergency Services, Div of"
Dietitian 1,16,0.0,5.0,,Multiple Agencies
Dietitian 2,18,0.0,5.0,,Multiple Agencies
Dietitian Technician,11,1.0,4.0,,Multiple Agencies
Dir Accounting Operations,65,1.0,6.0,,State Insurance Fund
Dir Addiction Treatment Center 1,63,1.0,6.0,,Addiction Treatment Centers
Dir Addiction Treatment Center 2,65,1.0,6.0,,OASAS-M/O+Facs
Dir Admnv Analysis 3,63,0.0,6.0,,Multiple Agencies
Dir Admnv Analysis 4,64,0.0,6.0,,"Taxation and Finance, Dept of"
Dir Admnv Support Services Group,66,1.0,6.0,,"Mental Health, Office of"
Dir Agency Budget Services 1,63,0.0,6.0,,Multiple Agencies
Dir Agency Budget Services 2,64,0.0,6.0,,Multiple Agencies
Dir Agency Emergency Management,62,0.0,6.0,,"OPWDD People W Dev Disab, Office for"
Dir Agricultural Development,64,1.0,6.0,,"Agriculture & Markets, Dept of"
Dir Alcohol & Substance Abuse Treatment Program,63,0.0,6.0,,"Corrections and Community Supervision, Dept of"
Dir Animal Industry,68,1.0,6.0,,"Agriculture & Markets, Dept of"
Dir Bayard Cutting Arboretum,23,1.0,6.0,,P&R Long Island Park Comm
Dir Biological Sciences,68,1.0,6.0,,"State Police, Division of"
Dir Building Standards & Codes,64,0.0,6.0,,"State, Department of"
Dir Capital Operations,64,0.0,6.0,,"Mental Health, Office of"
Dir Cert Operations,63,1.0,6.0,,"Corrections and Community Supervision, Dept of"
Dir Charter Schools,64,1.0,6.0,,"Education, Dept of"
Dir Child Food Programs,64,0.0,6.0,,"Education, Dept of"
Dir Claims Validation & Prize Payments,23,0.0,5.0,,NYS Gaming Commission
Dir Classification & Comp,67,0.0,6.0,,"Civil Service, Department of"
Dir Climate Policy Analysis,64,1.0,6.0,,"Environmental Conservation, Dept of"
Dir College and University Evaluation,64,0.0,6.0,,"Education, Dept of"
Dir Comp Claims & Medical Admn,66,0.0,6.0,,State Insurance Fund
Dir Conciliation & Mediation Services,65,0.0,6.0,,"Taxation and Finance, Dept of"
Dir Consumer Lending Regulation & Compliance,64,1.0,6.0,,"Financial Services, Department of"
Dir Contracts,66,0.0,6.0,,"Comptroller, Office of"
Dir Correctional Dental Services,68,0.0,6.0,,"Corrections and Community Supervision, Dept of"
Dir Correctional Educ Programs,64,1.0,6.0,,"Corrections and Community Supervision, Dept of"
Dir Correctional Guidance,64,0.0,6.0,,"Corrections and Community Supervision, Dept of"
Dir Correctional Industries & Industrial Trng,65,1.0,6.0,,"Corrections and Community Supervision, Dept of"
Dir Correctional Mental Health Programs,63,0.0,6.0,,"Corrections and Community Supervision, Dept of"
Dir Crime Victims Comp Claims,62,0.0,6.0,,"Victim Services, Office of"
Dir Criminal Justice Records,64,1.0,6.0,,"Criminal Justice Services, Div of"
Dir Crisis Intervention Program,63,1.0,6.0,,"Corrections and Community Supervision, Dept of"
Dir Curatorial & Visitor Services,63,1.0,6.0,,"General Services, Office of"
Dir Dairy Industry Services,64,0.0,6.0,,"Agriculture & Markets, Dept of"
Dir Ddso,68,1.0,6.0,,OPWDD-M/O+Facs
Dir Developmental Disabilities Nutritional Srvcs,62,0.0,6.0,,"OPWDD People W Dev Disab, Office for"
Dir Developmental Disabilities Research Institute,68,1.0,6.0,,OPWDD Staten Island DDSO
Dir Disability Determinations Opertns,65,0.0,6.0,,"Temp&Disability Asst, Office of"
Dir Div Construction Supvn,66,1.0,6.0,,"General Services, Office of"
Dir Div Corporations & State Records,64,0.0,6.0,,"State, Department of"
Dir Div Educl Testing,65,0.0,6.0,,"Education, Dept of"
Dir Div Investigation,64,1.0,6.0,,"Education, Dept of"
Dir Div Licensing Svcs,64,0.0,6.0,,"State, Department of"
Dir Div Occupl Safety & Health,66,1.0,6.0,,"Labor, Department of"
Dir Div Staffing Services,66,0.0,6.0,,"Civil Service, Department of"
Dir Educ Television Public Broadcasting,63,0.0,6.0,,"Education, Dept of"
Dir Employment Services,66,1.0,6.0,,"Labor, Department of"
Dir Engineering Materials,65,0.0,6.0,,"Transportation, Department of"
Dir Family & Community Engagement,64,0.0,6.0,,"Education, Dept of"
Dir Financial Admn 3,63,0.0,6.0,,Multiple Agencies
Dir Financial Admn 4,64,0.0,6.0,,Multiple Agencies
Dir Financial Admn 5,65,0.0,6.0,,Multiple Agencies
Dir Financial Admn 6,66,0.0,6.0,,Multiple Agencies
Dir Financial Services Frauds Bureau,NS,2.0,6.0,,"Financial Services, Department of"
Dir Financial Svs Licensing Services,63,0.0,6.0,,"Financial Services, Department of"
Dir Fleet Management,63,0.0,6.0,,"General Services, Office of"
Dir Food Laboratory,63,1.0,6.0,,"Agriculture & Markets, Dept of"
Dir Funeral Directing,62,0.0,6.0,,"Health, Department of"
Dir Health Institutions Financial Admn,64,0.0,6.0,,"Health, Department of"
Dir Health Services Medical Service,68,1.0,6.0,,"Civil Service, Department of"
Dir Health Services Operations & Management,64,0.0,6.0,,"Corrections and Community Supervision, Dept of"
Dir Historic Preservation Services,64,0.0,6.0,,"P&R Parks and Rec, Office of"
Dir Human Resources 1,61,0.0,6.0,,Multiple Agencies
Dir Human Resources 2,62,0.0,6.0,,Multiple Agencies
Dir Human Resources 3,63,0.0,6.0,,Multiple Agencies
Dir Human Resources 4,64,0.0,6.0,,Multiple Agencies
Dir Human Resources 5,65,0.0,6.0,,Multiple Agencies
Dir Human Resources 6,66,0.0,6.0,,Multiple Agencies
Dir Immigrant Workers Services,63,1.0,6.0,,"Labor, Department of"
Dir Information Technology Services 1,64,0.0,6.0,,Multiple Agencies
Dir Information Technology Services 2,65,0.0,6.0,,Multiple Agencies
Dir Information Technology Services 3,66,0.0,6.0,,Multiple Agencies
Dir Inmate Classification & Movement,64,0.0,6.0,,"Corrections and Community Supervision, Dept of"
Dir Inmate Grievance Program,63,1.0,6.0,,"Corrections and Community Supervision, Dept of"
Dir Insur Fund Business Operations,66,0.0,6.0,,State Insurance Fund
Dir Insur Fund Underwriting,65,0.0,6.0,,State Insurance Fund
Dir Insur Premium Audits,65,0.0,6.0,,State Insurance Fund
Dir Internal Audit,NS,1.0,6.0,,Multiple Agencies
Dir Internal Audit & Quality Control,63,0.0,6.0,,Multiple Agencies
Dir Internal Control NYSIF,63,1.0,6.0,,State Insurance Fund
Dir Investments & Cash Management,64,0.0,6.0,,"Taxation and Finance, Dept of"
Dir Labor Standards,66,1.0,6.0,,"Labor, Department of"
Dir Laboratories & Research,68,1.0,6.0,,"Health, Department of"
Dir Laboratory Cntr Admn,64,0.0,6.0,,"Health, Department of"
Dir Land & Water Resources,64,1.0,6.0,,"Agriculture & Markets, Dept of"
Dir Long Term Care Advocacy,62,1.0,6.0,,"Aging, Office for the"
Dir Lottery Advertising,64,0.0,6.0,,NYS Gaming Commission
Dir Lottery Games Operations,65,0.0,6.0,,NYS Gaming Commission
Dir Lottery Marketing & Sales,65,0.0,6.0,,NYS Gaming Commission
Dir Lottery Security,62,0.0,6.0,,NYS Gaming Commission
Dir Mental Health Field Office 1,66,1.0,6.0,,"Mental Health, Office of"
Dir Mental Health Field Office 2,68,1.0,6.0,,"Mental Health, Office of"
Dir Mental Health Nutritional Services,62,0.0,6.0,,"Mental Health, Office of"
Dir Mental Health Safety & Envirnmtl Srvs,62,1.0,6.0,,"Mental Health, Office of"
Dir Ministerial Family & Volunteer Sevices,63,1.0,6.0,,"Corrections and Community Supervision, Dept of"
Dir Motor Equipment Management,65,0.0,6.0,,"Transportation, Department of"
Dir Motor Vehicle Investigations,65,0.0,6.0,,"Motor Vehicles, Department of"
Dir NYSIF Disability Benefits Fund,62,1.0,6.0,,State Insurance Fund
Dir NYSIF Property Services,63,0.0,6.0,,State Insurance Fund
Dir Of Claims,65,0.0,6.0,,Workers Compensation Board
Dir Offc Interoperable & Emergency Comm,NS,2.0,6.0,,"Homeland Security and Emergency Services, Div of"
Dir Operations Support 1,63,0.0,6.0,,Multiple Agencies
Dir Operations Support 2,64,0.0,6.0,,Multiple Agencies
Dir Parking Services,62,0.0,6.0,,"General Services, Office of"
Dir Plant Industry,64,1.0,6.0,,"Agriculture & Markets, Dept of"
Dir Policyholder Field Services,65,0.0,6.0,,State Insurance Fund
Dir Program Planning Evaluation & Research,64,0.0,6.0,,"Corrections and Community Supervision, Dept of"
Dir Proprietary School Supvn,64,0.0,6.0,,"Education, Dept of"
Dir Psychiatric Research Institute,68,1.0,6.0,,OMH-M/O+Facs
Dir Public Information,NS,2.0,6.0,,Multiple Agencies
Dir Public Service Programs,NS,2.0,6.0,,"Public Service, Department of"
Dir Public Work Wage Investigation,63,1.0,6.0,,"Labor, Department of"
Dir Pupil Transportation,25,0.0,5.0,,"Education, Dept of"
Dir Real Property Tax Services,65,1.0,6.0,,"Taxation and Finance, Dept of"
Dir Regulatory Affairs,65,0.0,6.0,,Workers Compensation Board
Dir Rehab Hosp,68,1.0,6.0,,Helen Hayes Hospital
Dir Republic Airport,64,1.0,6.0,,"Transportation, Department of"
Dir Research and Collections Div,65,1.0,6.0,,"Education, Dept of"
Dir Security Staffing Project,63,0.0,6.0,,"Corrections and Community Supervision, Dept of"
Dir Self Insurance,64,0.0,6.0,,Workers Compensation Board
Dir Special Educ Services,65,0.0,6.0,,"Education, Dept of"
Dir Special Housing & Inmate Discipnry Proc Prg,64,1.0,6.0,,"Corrections and Community Supervision, Dept of"
Dir State Payroll Services,NS,2.0,6.0,,"Comptroller, Office of"
Dir Support Services,64,0.0,6.0,,"General Services, Office of"
Dir Tax Collection & Civil Enforcement,66,0.0,6.0,,"Taxation and Finance, Dept of"
Dir Tax Processing,67,0.0,6.0,,"Taxation and Finance, Dept of"
Dir Temporary Release,63,0.0,6.0,,"Corrections and Community Supervision, Dept of"
Dir Transitional Services,63,0.0,6.0,,"Corrections and Community Supervision, Dept of"
Dir Unclaimed Property Services,64,0.0,6.0,,"Comptroller, Office of"
Dir Unemp Insur Adjudication Services,65,0.0,6.0,,"Labor, Department of"
Dir Unemp Insur Div,66,1.0,6.0,,"Labor, Department of"
Dir Unemp Insur Liability Audit,65,0.0,6.0,,"Labor, Department of"
Dir Utilities Management,64,0.0,6.0,,"General Services, Office of"
Dir Victim Services,62,0.0,6.0,,"Corrections and Community Supervision, Dept of"
Dir Vulnerable Persons Central Register,31,1.0,5.0,,Justice Center
Dir Water Safety,23,1.0,5.0,,"P&R Parks and Rec, Office of"
Dir Weights & Measures,63,1.0,6.0,,"Agriculture & Markets, Dept of"
Dir Workers Comp Compliance,64,0.0,6.0,,Workers Compensation Board
Dir Workforce Development & Training,65,1.0,6.0,,"Labor, Department of"
Dir Youth Services Quality Assurance,64,0.0,6.0,,"Children&Family Svcs, Off of"
Direct Support Aide,NS,6.0,4.0,,OPWDD-M/O+Facs
Direct Support Assnt,9,0.0,4.0,,OPWDD-M/O+Facs
Direct Support Assnt In Res Mod,9,0.0,4.0,,OPWDD Central NY DDSO
Direct Support Assnt Manual Comm,9,0.0,4.0,,OPWDD Finger Lakes DDSO
Direct Support Assnt Span Lang,9,0.0,4.0,,OPWDD-M/O+Facs
Director Communications Services,63,0.0,6.0,,"Environmental Conservation, Dept of"
Director Correctional Library Services,63,0.0,6.0,,"Corrections and Community Supervision, Dept of"
Director Diversity & Inclusion Management,NS,2.0,6.0,,"Civil Service, Department of"
Director Financial Services Programs 1,31,1.0,5.0,,"Financial Services, Department of"
Director Financial Services Programs 2,33,1.0,5.0,,"Financial Services, Department of"
Director Financial Services Programs 3,NS,2.0,6.0,,"Financial Services, Department of"
Director Forensic Multimedia Services,64,1.0,6.0,,"State Police, Division of"
Director Municipal Audits,66,0.0,6.0,,"Comptroller, Office of"
Director Nursing 1 Developmental Disabilities,61,0.0,6.0,,OPWDD-M/O+Facs
Director Nursing 1 Health Services,61,0.0,6.0,,"Civil Service, Department of"
Director Nursing 2 Health Institutions,63,0.0,6.0,,"Health, Department of"
Director Nursing 2 Youth,63,0.0,6.0,,"Children&Family Svcs, Off of"
Director Nursing 3 Correctional Services,64,0.0,6.0,,"Corrections and Community Supervision, Dept of"
Director Nursing 3 Developmental Disabilities,64,0.0,6.0,,"OPWDD People W Dev Disab, Office for"
Director Nursing 3 Long Term Care,64,0.0,6.0,,Health - M/O+Facs
Director Nursing 3 Psychiatric,64,0.0,6.0,,Multiple Agencies
Director Nursing 3 Rehab,64,0.0,6.0,,Helen Hayes Hospital
Director Prison Rape Elimination Act Compliance,63,6.0,6.0,,"Corrections and Community Supervision, Dept of"
Disability Analyst 2,20,0.0,5.0,,"Temp&Disability Asst, Office of"
Disability Analyst 2 Spanish Language,20,0.0,5.0,,"Temp&Disability Asst, Office of"
Disability Analyst 3,23,0.0,5.0,,"Temp&Disability Asst, Office of"
Disability Analyst 3 Spanish Language,23,0.0,5.0,,"Temp&Disability Asst, Office of"
Disability Analyst 4,25,0.0,5.0,,"Temp&Disability Asst, Office of"
Disability Analyst 5,62,0.0,6.0,,"Temp&Disability Asst, Office of"
Disability Determinations Program Manager,64,0.0,6.0,,"Temp&Disability Asst, Office of"
Disability Review Physician Specialist,NS,1.0,5.0,,"Temp&Disability Asst, Office of"
Disability Review Psychologist,25,0.0,5.0,,"Temp&Disability Asst, Office of"
Disaster Assistance Representative,NS,0.0,71.0,,"Homeland Security and Emergency Services, Div of"
Disaster Preparedness Assistant,12,0.0,3.0,,"Homeland Security and Emergency Services, Div of"
Disaster Preparedness Program Rep 1,14,0.0,5.0,,Multiple Agencies
Disaster Preparedness Program Rep 2,18,0.0,5.0,,Multiple Agencies
Disaster Preparedness Program Rep 3,23,0.0,5.0,,Multiple Agencies
Disaster Preparedness Program Rep 4,25,0.0,5.0,,Multiple Agencies
District Manager Services For The Blind,61,0.0,6.0,,"Children&Family Svcs, Off of"
District Manager Voc Rehab,62,0.0,6.0,,"Education, Dept of"
District Tax Attorney & Appraiser,NS,2.0,5.0,,"Taxation and Finance, Dept of"
Diversity & Inclusion Specialist 1,18,0.0,6.0,,"Civil Service, Department of"
Diversity & Inclusion Specialist 2,23,0.0,6.0,,"Civil Service, Department of"
Diversity & Inclusion Specialist 3,62,0.0,6.0,,"Civil Service, Department of"
